ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,eloIDStart,calcEloStart,groupEloStab,groupEloDCI,hIndex,hIndexP,ttri,ttriP,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,finalRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup
32,NN,SGE1,SPF4_1,5,419,28,4,45,NN_SPF4_1,NN,359,NN,838,0.9789,0.707762557077626,0.95,0.153,1,0.327,419,53.293,10.012,43.281,28,SPF4_1,1,3.80664285714286,3.21428571428571,4,4,2018-10-17,2018-10-17,SingleCell,0.516717325227964,RNn10,2018-09-17,FALSE,1,0.966666666666667
33,PH,SGE1,NSPF2_1,5,889,44,4,7,PH_NSPF2_1,PH,827,PH,961,0.9959,0.97864768683274,1,0.109,1,0.21,889,71.571,28.276,43.295,44,NSPF2_1,1,3.25322727272727,0.318181818181818,4,4,2018-10-01,2018-10-01,SingleCell,0.643636363636364,RPh7,2018-03-21,FALSE,0,1
34,PT,SGE1,NSPF4_1,1,871,39,4,11,PT_NSPF4_1,PT,743,PT,897,0.9971,0.951807228915663,1,0.125,1,0.123,871,195.395,124.55,70.845,39,NSPF4_1,1,10.0202564102564,0.564102564102564,4,4,2018-10-12,2018-10-12,SingleCell,0.59106412005457,RPt8,2018-05-14,FALSE,0,1
35,PZ,SGE1,NSPF5_1,3,1444,21,1,0,PZ_NSPF5_1,PZ,1456,PZ,1308,0.9866,0.988929889298893,1,0.112,1,0.121,1444,180.63,97.95,82.68,21,NSPF5_1,1,17.2028571428571,0,1,1,2018-10-15,2018-10-15,SingleCell,0.452612112806288,RPz13,2018-09-10,TRUE,0,1
36,QT,SGE1,SPF1_1,1,811,48,4,38,QT_SPF1_1,QT,656,QT,852,0.9984,1,1,0.105,1,0.112,811,119.979,92.947,27.032,48,SPF1_1,1,4.999125,1.58333333333333,4,4,2018-10-03,2018-10-03,SingleCell,0.695439125518281,RQt8,2018-03-20,FALSE,4,0.979695431472081
37,QV,SGE1,NSPF1_1,2,1171,30,3,0,QV_NSPF1_1,QV,1274,QV,1124,0.9751,1,1,0.107,1,0.186,1171,54.785,8.374,46.411,30,NSPF1_1,1,3.65233333333333,0,2,2,2018-10-05,2018-10-05,SingleCell,0.357491289198606,RQv5,2018-09-10,TRUE,0,1
38,RN,SGE1,NSPF2_1,1,1366,48,1,0,RN_NSPF2_1,RN,1466,RN,1124,0.9959,0.97864768683274,1,0.109,1,0.21,1366,167.897,48.786,119.111,48,NSPF2_1,1,6.99570833333333,0,1,1,2018-10-01,2018-10-01,SingleCell,0.643636363636364,RRn9,2018-03-21,FALSE,0,1
39,RZ,SGE1,NSPF1_1,4,1244,31,2,1,RZ_NSPF1_1,RZ,1156,RZ,1178,0.9751,1,1,0.107,1,0.186,1244,58.461,23.075,35.386,31,NSPF1_1,1,3.77167741935484,0.0645161290322581,3,3,2018-10-05,2018-10-05,SingleCell,0.357491289198606,RRz6,2018-09-10,FALSE,0,1
40,SD,SGE1,SPF1_1,5,432,47,5,100,SD_SPF1_1,SD,253,SD,602,0.9984,1,1,0.105,1,0.112,432,95.653,80.552,15.101,47,SPF1_1,1,4.07034042553192,4.25531914893617,5,5,2018-10-03,2018-10-03,SingleCell,0.695439125518281,RSd4,2018-03-20,FALSE,1,0.99492385786802
41,SM,SGE1,NSPF1_1,1,1387,31,1,0,SM_NSPF1_1,SM,1387,SM,1294,0.9751,1,1,0.107,1,0.186,1387,76.029,52.021,24.008,31,NSPF1_1,1,4.90509677419355,0,1,1,2018-10-05,2018-10-05,SingleCell,0.357491289198606,RSm8,2018-09-10,TRUE,0,1
42,SS,SGE1,SPF1_1,2,1435,48,2,2,SS_SPF1_1,SS,1437,SS,1296,0.9984,1,1,0.105,1,0.112,1435,150.774,95.983,54.791,48,SPF1_1,1,6.28225,0.0833333333333333,2,2,2018-10-03,2018-10-03,SingleCell,0.695439125518281,RSs10,2018-03-20,FALSE,0,1
43,TA,SGE1,SPF4_1,2,1147,31,2,3,TA_SPF4_1,TA,1112,TA,1164,0.9789,0.707762557077626,0.95,0.153,1,0.327,1147,90.113,2.58,87.533,31,SPF4_1,1,5.81374193548387,0.193548387096774,2,2,2018-10-17,2018-10-17,SingleCell,0.516717325227964,RTa11,2018-09-17,FALSE,0,1
44,TM,SGE1,NSPF4_1,3,1265,39,2,3,TM_NSPF4_1,TM,1372,TM,1073,0.9971,0.951807228915663,1,0.125,1,0.123,1265,140.819,14.333,126.486,39,NSPF4_1,1,7.22148717948718,0.153846153846154,2,2,2018-10-12,2018-10-12,SingleCell,0.59106412005457,RTm13,2018-05-14,FALSE,0,1
45,TR,SGE1,NSPF4_1,2,873,39,3,14,TR_NSPF4_1,TR,871,TR,1000,0.9971,0.951807228915663,1,0.125,1,0.123,873,220.55,127.857,92.693,39,NSPF4_1,1,11.3102564102564,0.717948717948718,3,3,2018-10-12,2018-10-12,SingleCell,0.59106412005457,RTr13,2018-05-14,FALSE,0,1
46,VT,SGE1,SPF3_1,2,1750,33,1,0,VT_SPF3_1,VT,1750,VT,1274,0.9963,0.991489361702128,1,0.115,1,0.124,1750,52.119,18.739,33.38,33,SPF3_1,1,3.15872727272727,0,1,1,2018-10-18,2018-10-18,SingleCell,0.471448275862069,RVt12,2018-07-02,FALSE,0,1
47,WM,SGE1,NSPF5_1,5,979,26,3,9,WM_NSPF5_1,WM,950,WM,1085,0.9866,0.988929889298893,1,0.112,1,0.121,979,68.392,46.891,21.501,26,NSPF5_1,1,5.26092307692308,0.692307692307692,3,3,2018-10-15,2018-10-15,SingleCell,0.452612112806288,RWm14,2018-09-10,FALSE,8,0.771428571428571
48,YR,SGE1,SPF3_1,5,610,33,4,145,YR_SPF3_1,YR,530,YR,823,0.9963,0.991489361702128,1,0.115,1,0.124,610,21.401,4.20200000000001,17.199,33,SPF3_1,1,1.2970303030303,8.78787878787879,4,4,2018-10-18,2018-10-18,SingleCell,0.471448275862069,RYr14,2018-07-02,FALSE,0,1
49,YZ,SGE1,SPF1_1,3,847,48,3,33,YZ_SPF1_1,YZ,1055,YZ,957,0.9984,1,1,0.105,1,0.112,847,87.56,46.724,40.836,48,SPF1_1,1,3.64833333333333,1.375,3,3,2018-10-03,2018-10-03,SingleCell,0.695439125518281,RYz6,2018-03-20,FALSE,0,1
